Academic_Success_Center 7
   1775.909335 999.2323341 0
   1774.831558 1015.45454 0
   1748.209363 1014.265652 0
   1749.464917 995.3767824 0
   1704.753851 993.3656733 0
   1702.031631 1034.398966 0
   1797.77598 1038.698961 0
   1800.320422 1000.332333 0
Douthit_Hills_C 8
   1852.264814 988.7323446 0
   1852.898147 981.8990181 0
   1806.66486 978.9767988 0
   1806.020416 985.8101253 0
   1778.509333 984.0767937 0
   1780.764886 959.8657068 0
   1881.120341 966.1990338 0
   1878.864788 990.4101207 0
Douthit_Hills_D 4
   1848.575929 1004.04344 0
   1927.998072 1006.776771 0
   1926.998073 1026.387862 0
   1847.587041 1023.654532 0
Douthit_Hills_E 10
   2163.975614 1018.198982 0
   2162.553393 1036.876741 0
   2111.264555 1034.24341 0
   2112.664554 1015.843429 0
   2116.308995 1016.032317 0
   2118.38677 988.7212335 0
   2081.764585 986.8323465 0
   2083.153472 968.5212537 0
   2146.186743 971.7656949 0
   2142.731191 1017.110094 0
Douthit_Hills_F 6
   2176.164491 1019.743425 0
   2246.719976 1023.154532 0
   2245.408866 1041.521181 0
   2197.420025 1039.198961 0
   2196.142248 1057.054498 0
   2173.575604 1055.965611 0
Douthit_Hills_G 10
   2179.764487 1003.621219 0
   2181.864485 969.5768082 0
   2260.508851 972.8545827 0
   2259.675518 986.4212358 0
   2289.008822 987.6434568 0
   2287.808823 1007.121215 0
   2235.431098 1004.932328 0
   2236.475541 988.0101231 0
   2202.264464 986.5879023 0
   2201.153354 1004.510107 0
Douthit_Hills_HUB 9
   1980.375797 978.88791 0
   2023.23131 980.7323526 0
   2021.320201 1010.743434 0
   2040.220182 1011.565655 0
   2038.342406 1040.932292 0
   1959.398041 1037.521185 0
   1960.886928 1014.187875 0
   1962.042482 996.1212261 0
   1979.220243 996.8656698 0
Earle_Hall 12
   991.2101199 495.1772826 0
   919.9879689 515.6328177 0
   917.7101934 510.2661564 0
   890.5435539 518.0661486 0
   881.9213403 497.7550578 0
   914.8990851 488.2884006 0
   919.2879696 498.6217236 0
   941.3212809 492.2883966 0
   931.665735 469.5439749 0
   951.5101596 463.8439806 0
   961.2101499 486.6995133 0
   984.7323486 479.9439645 0
Edwards_Hall 14
   1611.753944 613.3771644 0
   1620.342824 611.8104993 0
   1645.165022 621.9549336 0
   1664.020558 628.3771494 0
   1666.120556 625.1438193 0
   1679.098321 629.3660373 0
   1683.876094 621.7104894 0
   1671.842773 616.5104946 0
   1677.564989 607.0993929 0
   1637.509474 592.1994078 0
   1636.553919 583.5771942 0
   1625.109486 583.5771942 0
   1625.65393 591.7105194 0
   1609.442835 595.6327377 0
Endocrine_Physiology_Laboratory 8
   1536.342908 2.3444421 0
   1539.198461 25.0888638 0
   1549.687339 24.3110868 0
   1547.787341 13.33332 0
   1553.509558 12.5444319 0
   1553.509558 2.3444421 0
   1545.876232 3.133330199 0
   1544.920677 0 0
Facilities_Operations 13
   928.665738 950.4990495 0
   932.4324009 975.5990244 0
   937.6990623 975.2545803 0
   939.665727 984.7879041 0
   951.9657147 983.3101278 0
   956.9323764 1010.010101 0
   961.4657052 1009.754546 0
   964.3212579 1028.576749 0
   920.9435235 1031.176747 1
   922.5435219 1042.543402 1
   977.5990224 1039.265627 0
   961.0434834 947.5657191 0
   939.6990603 949.6212726 0
Fike_Recreation_Center 16
   693.8548617 1076.932256 0
   704.1770736 1077.821144 0
   702.3992976 1091.698908 0
   755.2881336 1096.276682 0
   757.1214651 1081.910029 0
   783.4103277 1084.198916 0
   784.5881043 1075.032258 0
   826.9769508 1078.743366 0
   832.9769448 1032.398968 0
   814.1436303 1030.743414 0
   814.6880742 1026.56564 0
   796.8992031 1024.987864 0
   800.1880887 999.8767779 0
   792.4880964 999.0323343 1
   728.7992712 993.6990063 1
   704.554851 991.665675 1
Fluor-Daniel_Engineering_Innovation_Building 12
   1072.02115 457.9662087 0
   1089.454466 452.8551027 0
   1094.487794 464.4662022 0
   1022.032311 485.6884032 0
   1017.598982 475.443969 0
   1004.887884 479.1661875 0
   992.7990072 451.2439932 0
   1005.432328 447.5439969 0
   999.3990006 433.6106775 0
   1073.921148 411.7884771 0
   1079.510032 424.6995753 0
   1060.076718 430.3884585 0
Fort_Hill 12
   1063.53227 744.9103662 0
   1072.665594 744.8659218 0
   1072.921149 748.1214741 0
   1087.887801 748.1214741 0
   1087.632246 745.3992546 0
   1093.854462 745.3548102 0
   1093.498907 729.9548256 0
   1081.176697 730.1214921 0
   1081.51003 734.5103766 0
   1068.543376 734.5437099 0
   1068.243376 738.6881502 0
   1063.610048 738.7103724 0
Freeman_Hall 14
   1177.865489 550.0661166 0
   1180.598819 566.3883225 0
   1228.78766 561.6105495 0
   1219.89878 498.4995015 0
   1156.187733 504.7550508 0
   1155.765511 508.8661578 0
   1152.743292 508.8550467 0
   1152.62107 507.0772707 0
   1146.96552 507.221715 0
   1152.921069 545.3883435 0
   1157.987731 545.1994548 0
   1157.898842 543.1439013 0
   1161.376616 542.7105684 0
   1162.821059 551.6772261 0
Geer_Hall 7
   883.0880058 775.2436692 0
   889.6991103 775.1325582 0
   930.0435144 770.5103406 0
   928.6324047 761.0214612 0
   927.2990727 752.0659146 0
   887.0102241 756.999243 0
   880.3435641 756.7992432 0
Godfrey_Hall 12
   1180.09882 1090.221132 0
   1226.376551 1085.543359 0
   1219.121003 1036.943407 0
   1185.498815 1040.332293 0
   1186.587702 1047.632286 0
   1187.665479 1054.84339 0
   1188.543256 1060.698939 0
   1182.176596 1061.332272 0
   1182.832151 1065.743379 0
   1187.654368 1065.25449 0
   1190.565476 1084.721137 0
   1179.443265 1085.85447 0
Godley-Snell_Research_Center 8
   1757.720465 106.6887822 0
   1831.153724 130.2109809 0
   1846.409265 101.1998988 0
   1819.709291 91.7887971 0
   1817.798182 97.2776805 0
   1794.909316 90.2110209 0
   1796.820425 86.2888026 0
   1771.064896 77.666589 0
Greenhouse_Complex 4
   1755.976022 293.6885952 0
   1827.198173 295.1663715 0
   1829.69817 213.8664528 0
   1758.476019 212.3886765 0
Hardin_Hall 9
   1307.354248 778.8658878 0
   1310.598689 804.554751 0
   1333.076445 802.6325307 0
   1332.187557 795.5658711 0
   1329.38756 773.4325599 0
   1340.154215 772.5103386 0
   1337.276441 749.7214725 0
   1288.398712 753.888135 0
   1291.720931 780.1992198 0
Harris_A._Smith_Building 6
   1047.398953 405.9773718 0
   1053.076725 404.44404 0
   1051.776726 401.1773766 0
   1070.176708 396.2107149 0
   1053.921168 355.4885334 0
   1029.843415 361.999638 0
Hendrix_Student_Center 18
   1784.475993 530.0105811 0
   1784.375993 538.0883508 0
   1780.587108 545.0994549 0
   1769.109342 566.3216559 0
   1802.498197 578.8660878 0
   1806.309305 573.3772044 0
   1835.875942 581.221641 0
   1853.987035 546.7105644 0
   1858.042586 547.9216743 0
   1864.487024 549.8550057 0
   1871.153684 541.221681 0
   1933.142511 542.0105691 0
   1933.142511 520.0439244 0
   1913.542531 519.4883694 0
   1865.698134 518.5217037 0
   1798.220424 517.1550384 0
   1798.098202 523.8439206 0
   1798.064869 530.4772473 0
Hoke_Sloan_Tennis_Center 4
   899.776878 1198.098802 0
   897.7546578 1185.443259 0
   926.2879626 1182.354373 0
   928.3101828 1195.021027 0
Holmes_Hall 9
   1055.898944 805.3547502 0
   1063.754492 853.999146 0
   1103.63223 849.6991503 0
   1113.998886 849.0880398 0
   1111.865555 829.888059 0
   1096.543348 831.4547241 0
   1084.421138 833.2102779 0
   1081.154474 802.8658638 0
